"results","estimators"
0.123278319064811,"MLE"
0.0898220640634862,"MLE"
0.0717295261482834,"MLE"
0.133350279709296,"MLE"
0.0862011017168511,"MLE"
0.147695166617203,"MLE"
0.0839453464424637,"MLE"
0.1300780700638,"MLE"
0.0858885766947311,"MLE"
0.0959371945207946,"MLE"
0.104226160610404,"MLE"
0.0777797428194757,"MLE"
0.111386234955267,"MLE"
0.0936152636700004,"MLE"
0.10580377232913,"MLE"
0.116737603393364,"MLE"
0.112302381298435,"MLE"
0.113660380335281,"MLE"
0.106258256501017,"MLE"
0.0939100453381522,"MLE"
0.111050462254814,"MLE"
0.0933116343934423,"MLE"
0.0937162293575663,"MLE"
0.0767500640802195,"MLE"
0.102674683568378,"MLE"
0.101375305514325,"MLE"
0.10006883575017,"MLE"
0.105447529267793,"MLE"
0.109993613221626,"MLE"
0.115636014750876,"MLE"
0.0990161451973771,"MLE"
0.0946947874881904,"MLE"
0.0859898832907689,"MLE"
0.0910406892869384,"MLE"
0.129060765466954,"MLE"
0.0771535267523132,"MLE"
0.0941291001541344,"MLE"
0.0653696270901924,"MLE"
0.0990257934732654,"MLE"
0.103599091146965,"MLE"
0.119187634438529,"MLE"
0.0692174927075247,"MLE"
0.132220331017952,"MLE"
0.113831515892339,"MLE"
0.0899665826646771,"MLE"
0.0738423387584224,"MLE"
0.0819275982813262,"MLE"
0.0868873929478019,"MLE"
0.0954176616105655,"MLE"
0.118466950877783,"MLE"
0.122130060270727,"MLE"
0.0907441666654376,"MLE"
0.100538858497713,"MLE"
0.128896027456175,"MLE"
0.101475910252742,"MLE"
0.127970323117365,"MLE"
0.120016190810772,"MLE"
0.0866800294327704,"MLE"
0.0853235073488578,"MLE"
0.0984079215075904,"MLE"
0.0935553346408622,"MLE"
0.0837307049375466,"MLE"
0.102621525214053,"MLE"
0.0928616175598145,"MLE"
0.0972260431081731,"MLE"
0.11034299364141,"MLE"
0.0886007854772545,"MLE"
0.12136268961182,"MLE"
0.0906557580936284,"MLE"
0.104890105074779,"MLE"
0.0904560088994978,"MLE"
0.125238300472804,"MLE"
0.0907857071382889,"MLE"
0.0857321913006544,"MLE"
0.0938889342850067,"MLE"
0.138775902596563,"MLE"
0.108094208980134,"MLE"
0.0834483961529107,"MLE"
0.104997592412106,"MLE"
0.0833357022588179,"MLE"
0.107274403787873,"MLE"
0.0830846389997938,"MLE"
0.0966871689846125,"MLE"
0.138350771989466,"MLE"
0.165090330040382,"MLE"
0.0890058690673819,"MLE"
0.104512255374488,"MLE"
0.108492207989666,"MLE"
0.0886453270684898,"MLE"
0.098189682707834,"MLE"
0.102611277444032,"MLE"
0.113603216039898,"MLE"
0.1191524964151,"MLE"
0.101801878206418,"MLE"
0.0818822851144258,"MLE"
0.0874405968767555,"MLE"
0.132022711820903,"MLE"
0.0697780870630562,"MLE"
0.0944740690634224,"MLE"
0.162266609928549,"MLE"
0.100543192184979,"MLE"
0.170167063922186,"MLE"
0.0878765509320894,"MLE"
0.115127543253209,"MLE"
0.0773823160338049,"MLE"
0.101727977722265,"MLE"
0.13385525724765,"MLE"
0.140938399315755,"MLE"
0.160452073286971,"MLE"
0.0885306943720459,"MLE"
0.12608960634899,"MLE"
0.0622413980310277,"MLE"
0.080302067725046,"MLE"
0.106209395900025,"MLE"
0.109581813921949,"MLE"
0.108468310615356,"MLE"
0.0711216660388163,"MLE"
0.109968466587981,"MLE"
0.177143111660849,"MLE"
0.130406489839536,"MLE"
0.0961200902729642,"MLE"
0.105275300894216,"MLE"
0.092657884887927,"MLE"
0.0652828527768007,"MLE"
0.0855201127012246,"MLE"
0.10787431171773,"MLE"
0.0984415719999137,"MLE"
0.0686998121544707,"MLE"
0.120393364841582,"MLE"
0.112292176126273,"MLE"
0.118651689389522,"MLE"
0.149358004992104,"MLE"
0.0733348435111259,"MLE"
0.103223099316004,"MLE"
0.0721869876094045,"MLE"
0.0882254934705469,"MLE"
0.084374117647945,"MLE"
0.1335416617673,"MLE"
0.122646296055723,"MLE"
0.126218037625844,"MLE"
0.085404024591774,"MLE"
0.0632473505593953,"MLE"
0.112222166764421,"MLE"
0.152511453668511,"MLE"
0.0850202920537075,"MLE"
0.086951949303738,"MLE"
0.0909554242063331,"MLE"
0.0779160859850099,"MLE"
0.0976292006312975,"MLE"
0.0812121880995465,"MLE"
0.173717231960398,"MLE"
0.0996468234206443,"MLE"
0.0900630566161884,"MLE"
0.120096071771965,"MLE"
0.0883948024030788,"MLE"
0.104123362597916,"MLE"
0.133236983532168,"MLE"
0.101889988721454,"MLE"
0.0996866586258853,"MLE"
0.120097644386449,"MLE"
0.114677251127374,"MLE"
0.0869311975619513,"MLE"
0.0833258684439724,"MLE"
0.0980161278055326,"MLE"
0.112849005487091,"MLE"
0.15044509999134,"MLE"
0.0927594141077663,"MLE"
0.123198972340614,"MLE"
0.113141393216043,"MLE"
0.104349233746763,"MLE"
0.106173684725556,"MLE"
0.102419748014447,"MLE"
0.11316485177697,"MLE"
0.104134912393059,"MLE"
0.0817254644447247,"MLE"
0.113875135243156,"MLE"
0.162943012891727,"MLE"
0.141444284071486,"MLE"
0.084280076497358,"MLE"
0.0807170496135078,"MLE"
0.0846292945591598,"MLE"
0.125694395077625,"MLE"
0.118580509091393,"MLE"
0.0876747509566294,"MLE"
0.0991388223369824,"MLE"
0.0936608454877532,"MLE"
0.0985843106842617,"MLE"
0.08055160446817,"MLE"
0.0891862191533555,"MLE"
0.101151645972888,"MLE"
0.127008869613083,"MLE"
0.111498169442721,"MLE"
0.0876372329334278,"MLE"
0.132890512801753,"MLE"
0.0705019294471407,"MLE"
0.111789701761873,"MLE"
0.126594482539156,"MLE"
0.119725793919517,"MLE"
0.134754371202708,"MLE"
0.156542222200904,"MLE"
0.0688158092038126,"MLE"
0.159876358578552,"MLE"
0.115863466626488,"MLE"
0.0772648881831439,"MLE"
0.101775722355173,"MLE"
0.124762252123675,"MLE"
0.0555117731740051,"MLE"
0.0781188605140869,"MLE"
0.0842148777494016,"MLE"
0.0708374505193003,"MLE"
0.124846209539335,"MLE"
0.0887113699794921,"MLE"
0.110715082886274,"MLE"
0.0837736886109003,"MLE"
0.130693496692632,"MLE"
0.0685380177074523,"MLE"
0.0929736356171488,"MLE"
0.116484765887394,"MLE"
0.108027542348767,"MLE"
0.111083647325831,"MLE"
0.0992678078575159,"MLE"
0.0770529040323406,"MLE"
0.15174326471691,"MLE"
0.101662947744302,"MLE"
0.0864214403537656,"MLE"
0.123560772577001,"MLE"
0.141477288995184,"MLE"
0.11767623110412,"MLE"
0.0944762556504322,"MLE"
0.114690403764273,"MLE"
0.104412959801041,"MLE"
0.0880644726488666,"MLE"
0.0959667938521309,"MLE"
0.101847204177789,"MLE"
0.0934959613741679,"MLE"
0.115959742589142,"MLE"
0.13132056445146,"MLE"
0.0691661795941826,"MLE"
0.0668678417987812,"MLE"
0.112792326624275,"MLE"
0.0856160650404586,"MLE"
0.074054347094893,"MLE"
0.104196917118651,"MLE"
0.120980454390037,"MLE"
0.0816948920732602,"MLE"
0.0767679255070058,"MLE"
0.131247144642762,"MLE"
0.108600464121275,"MLE"
0.0910738535650727,"MLE"
0.123338631718463,"MLE"
0.082678499592997,"MLE"
0.0859901573217484,"MLE"
0.0754328727842548,"MLE"
0.140962099248742,"MLE"
0.0840897299924284,"MLE"
0.11814189263115,"MLE"
0.079676563935883,"MLE"
0.0848292208706265,"MLE"
0.102344877543704,"MLE"
0.133100815538449,"MLE"
0.115603061683521,"MLE"
0.10773822463071,"MLE"
0.0769806130000518,"MLE"
0.130498998928081,"MLE"
0.141124434918545,"MLE"
0.083002436105613,"MLE"
0.0923543021893713,"MLE"
0.105352603981345,"MLE"
0.110640412416498,"MLE"
0.0885852199676273,"MLE"
0.186239014096773,"MLE"
0.0948604557643973,"MLE"
0.10591813939711,"MLE"
0.112739002300929,"MLE"
0.124254565158163,"MLE"
0.0887386256623103,"MLE"
0.110950804197745,"MLE"
0.11221175647967,"MLE"
0.154364120878784,"MLE"
0.0963052055561883,"MLE"
0.098286173355207,"MLE"
0.131571323482401,"MLE"
0.093475702295251,"MLE"
0.130374799207189,"MLE"
0.0859241917163034,"MLE"
0.176110522932421,"MLE"
0.0664458205119717,"MLE"
0.092898327317519,"MLE"
0.10178507918601,"MLE"
0.0957619100321197,"MLE"
0.0892773210939938,"MLE"
0.113878376353964,"MLE"
0.115874407481093,"MLE"
0.15031294876277,"MLE"
0.0788766992468666,"MLE"
0.0853405406494224,"MLE"
0.070201529436566,"MLE"
0.102292416712758,"MLE"
0.0997370549006499,"MLE"
0.104156646244558,"MLE"
0.10272437214336,"MLE"
0.130602638257581,"MLE"
0.122503654905738,"MLE"
0.108693406808315,"MLE"
0.127785361051049,"MLE"
0.0804328591219575,"MLE"
0.100921698214032,"MLE"
0.149865406825001,"MLE"
0.0864833397332344,"MLE"
0.0938929134922051,"MLE"
0.0739997321970721,"MLE"
0.103625254514303,"MLE"
0.107073845227035,"MLE"
0.0849156085102547,"MLE"
0.107632241690145,"MLE"
0.107783654759766,"MLE"
0.117940177492228,"MLE"
0.103674300852821,"MLE"
0.10444244191375,"MLE"
0.0910157905661407,"MLE"
0.0725060384103343,"MLE"
0.106407308867689,"MLE"
0.133960651030393,"MLE"
0.136669963381,"MLE"
0.145775474607346,"MLE"
